"treatment","outcome"
0,1.72048510153655
1,1.77799110797904
1,1.90240210335163
1,1.83697121675019
1,1.8251853100197
0,1.46334107910638
0,1.68428394199656
1,2.2361797829258
1,2.11276520056477
1,2.66024482048936
1,2.4377430607518
1,2.61358210659556
1,2.42258061286627
0,2.46575741777231
0,1.23037121054949
0,2.43145602288594
1,2.32712274031492
1,1.87302567286607
1,2.70107546303359
0,2.06548673266509
0,2.82064214323388
1,2.37712083243007
1,2.94872863135563
0,1.35887482604722
0,2.25647829003574
1,2.25710133389337
1,1.65482666661376
1,2.02760593684803
0,1.92834562437053
1,1.98142759248079
1,2.19184093376059
0,2.69292959433529
0,1.82380886401573
0,2.41823066217411
1,1.77334490448925
0,2.46662386273642
1,2.17870315807774
0,2.14929567806021
1,2.10087666869011
0,1.6583292319513
0,2.08539649789564
0,1.55641141474325
1,2.43181611283356
0,2.24769384006615
1,2.34452635721749
0,1.68159553054351
0,1.95633545852115
0,2.07626406934551
0,1.68322893678533
0,1.88713083250423
0,2.42598212560911
1,2.15721187589348
1,1.84815204474421
1,2.04421017244493
1,1.97207488156427
0,2.0033847737258
0,1.63827293597638
1,2.77689819209912
1,2.56029934999147
1,2.46288560531913
0,1.76676388221603
0,1.82141049783353
0,1.77209876415404
0,2.40277199865322
1,2.89934910710452
0,1.81535456064202
0,1.80253667674407
1,2.51208468763873
1,2.21050204638777
0,2.62950453329541
0,1.71384863538145
1,1.92534332976241
1,2.87086185687312
0,1.59923114195449
1,2.25742418584036
0,1.72065538305343
0,2.70137058576103
0,1.81201067701899
0,1.69363400735473
0,1.8432304651424
1,2.42558244989262
0,1.74594950455357
1,2.30278625564116
1,2.35517822452472
0,2.05302459280875
0,2.3693290357497
1,1.69857865848771
0,1.97012415511177
0,2.32068529092159
1,2.31765083588024
1,1.78516660771433
0,1.95561555312234
0,1.59715946290148
1,2.69103499400636
1,2.30193847165965
1,1.83263991522356
1,2.46889586993623
0,2.01544901277608
1,1.91250410189147
0,1.79693039028122
1,1.81948558302909
1,2.069258389344
0,1.4972712678941
