shs,hsg,scl,clg,adv,PEXP,PEXP2,PEXP3,PEXP4,PEXP5,PEXP6,PEXP7,PEXP8,PEXP9,MALE,NE,MW,SO,WE,wage,lwage
0,1,0,0,0,8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.134217728,1,0,0,1,0,18,2.89037175789616
0,1,0,0,0,2,0.04,0.008,0.0016,0.00032,6.4e-05,1.28e-05,2.56e-06,5.12e-07,1,0,0,1,0,11.5,2.4423470353692
0,0,1,0,0,6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.010077696,1,0,0,1,0,2.3,0.832909122935104
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.3,0.832909122935104
0,1,0,0,0,10,1,1,1,1,1,1,1,1,1,0,0,1,0,10,2.30258509299405
0,1,0,0,0,14,1.96,2.744,3.8416,5.37824,7.529536,10.5413504,14.75789056,20.661046784,1,0,0,1,0,18,2.89037175789616
0,0,0,1,0,5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,1,0,0,1,0,36,3.58351893845611
0,1,0,0,0,11,1.21,1.331,1.4641,1.61051,1.771561,1.9487171,2.14358881,2.357947691,1,0,0,1,0,27,3.29583686600433
0,1,0,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,0,0,0,1,0,8.3,2.11625551480255
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.5,2.01490302054226
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.5,2.01490302054226
0,1,0,0,0,10,1,1,1,1,1,1,1,1,0,0,0,1,0,8.5,2.14006616349627
0,1,0,0,0,4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.000262144,1,0,0,1,0,8.5,2.14006616349627
0,1,0,0,0,4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.000262144,0,0,0,1,0,8,2.07944154167984
0,1,0,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,1,0,0,1,0,8.5,2.14006616349627
0,1,0,0,0,13,1.69,2.197,2.8561,3.71293,4.826809,6.2748517,8.15730721,10.604499373,0,0,0,1,0,7.85,2.06051353179432
0,0,1,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,1,0,0,1,0,8.5,2.14006616349627
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2.30258509299405
0,1,0,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,1,0,0,1,0,7.25,1.98100146886658
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.25,1.98100146886658
0,1,0,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,1,0,0,1,0,13.5,2.60268968544438
1,0,0,0,0,26,6.76,17.576,45.6976,118.81376,308.915776,803.1810176,2088.27064576,5429.503678976,1,0,0,1,0,10.3,2.33214389523559
1,0,0,0,0,9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,1,0,0,1,0,12,2.484906649788
0,0,1,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,1,0,0,1,0,10,2.30258509299405
0,0,0,1,0,12,1.44,1.728,2.0736,2.48832,2.985984,3.5831808,4.29981696,5.159780352,0,0,0,0,1,26.11,3.26231838271104
0,1,0,0,0,13,1.69,2.197,2.8561,3.71293,4.826809,6.2748517,8.15730721,10.604499373,1,0,0,0,1,16,2.77258872223978
0,1,0,0,0,7,0.49,0.343,0.2401,0.16807,0.117649,0.0823543,0.05764801,0.040353607,1,0,0,0,1,16.2,2.78501124223834
0,1,0,0,0,23,5.29,12.167,27.9841,64.36343,148.035889,340.4825447,783.10985281,1801.152661463,1,0,0,0,1,16,2.77258872223978
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2.19722457733622
0,1,0,0,0,13,1.69,2.197,2.8561,3.71293,4.826809,6.2748517,8.15730721,10.604499373,1,0,0,0,1,18,2.89037175789616
0,1,0,0,0,16,2.56,4.096,6.5536,10.48576,16.777216,26.8435456,42.94967296,68.719476736,0,0,0,0,1,23.06,3.13809951484091
0,1,0,0,0,2,0.04,0.008,0.0016,0.00032,6.4e-05,1.28e-05,2.56e-06,5.12e-07,1,0,0,0,1,15.65,2.75047091698616
0,0,0,1,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,0,0,0,0,1,12,2.484906649788
0,0,1,0,0,6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.010077696,1,0,0,0,1,13.69,2.61666563930036
0,1,0,0,0,4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.000262144,1,0,0,0,1,11.25,2.42036812865043
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,2.484906649788
0,1,0,0,0,5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,0,0,0,0,1,18.8,2.9338568698359
0,0,0,1,0,7,0.49,0.343,0.2401,0.16807,0.117649,0.0823543,0.05764801,0.040353607,0,0,0,0,1,9,2.19722457733622
0,0,0,0,1,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,1,0,0,0,1,36,3.58351893845611
0,1,0,0,0,2,0.04,0.008,0.0016,0.00032,6.4e-05,1.28e-05,2.56e-06,5.12e-07,1,0,0,0,1,12,2.484906649788
0,0,0,1,0,12,1.44,1.728,2.0736,2.48832,2.985984,3.5831808,4.29981696,5.159780352,1,0,0,0,1,15,2.70805020110221
0,1,0,0,0,2,0.04,0.008,0.0016,0.00032,6.4e-05,1.28e-05,2.56e-06,5.12e-07,1,0,0,0,1,19,2.94443897916644
0,0,1,0,0,4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.000262144,0,0,0,0,1,14,2.63905732961526
0,0,0,1,0,6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.010077696,0,0,0,0,1,9.75,2.27726728500976
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,2.484906649788
0,0,1,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,0,0,0,0,1,13.34,2.59076704048748
0,1,0,0,0,16,2.56,4.096,6.5536,10.48576,16.777216,26.8435456,42.94967296,68.719476736,0,0,0,0,1,14.94,2.70404217970467
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5,2.01490302054226
1,0,0,0,0,10,1,1,1,1,1,1,1,1,1,0,0,0,1,20,2.99573227355399
0,0,1,0,0,30,9,27,81,243,729,2187,6561,19683,1,0,0,0,1,24.5,3.19867311755068
0,1,0,0,0,10,1,1,1,1,1,1,1,1,0,0,0,0,1,24,3.17805383034795
0,0,0,1,0,4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.000262144,1,0,0,0,1,18.5,2.91777073208428
0,0,1,0,0,28,7.84,21.952,61.4656,172.10368,481.890304,1349.2928512,3778.01998336,10578.455953408,1,0,0,0,1,13.25,2.58399755243223
0,0,1,0,0,19,3.61,6.859,13.0321,24.76099,47.045881,89.3871739,169.83563041,322.687697779,0,0,0,0,1,18,2.89037175789616
1,0,0,0,0,8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.134217728,1,0,0,0,1,21.3,3.05870707271538
1,0,0,0,0,16,2.56,4.096,6.5536,10.48576,16.777216,26.8435456,42.94967296,68.719476736,1,0,0,0,1,9,2.19722457733622
